CN_Code,Description
02074461,0207 44 61 ----- Cosce e loro pezzi
02074471,0207 44 71 ----- Parti dette paltò di anatra
02074481,0207 44 81 ----- altri
02074491,"0207 44 91 ---- Fegati, diversi dai fegati grassi"
02074499,0207 44 99 ---- altri
02074500,"0207 45 -- altri, congelati"
02074510,0207 45 10 ---- disossati
02074521,0207 45 21 ----- Metà o quarti
02074531,"0207 45 31 ----- Ali intere, anche senza punta"
02074541,"0207 45 41 ----- Dorsi, colli, dorsi con colli attaccati, codrioni, punte di ali"
02074551,0207 45 51 ----- Petti e loro pezzi
02074561,0207 45 61 ----- Cosce e loro pezzi
02074571,0207 45 71 ----- Parti dette paltò di anatra
02074581,0207 45 81 ----- altri
02074593,0207 45 93 ----- Fegati grassi
02074595,0207 45 95 ----- altri
02074599,0207 45 99 ---- altri
02075100,"0207 51 -- interi, freschi o refrigerati"
02075110,"0207 51 10 --- presentate spennate, dissanguate, non svuotate, con la testa e le zampe, dette oche 82 %"
02075190,"0207 51 90 --- presentate spennate, svuotate, senza la testa e le zampe, con o senza il cuore ed il ventriglio, dette oche 75 %, o altrimenti presentate"
02075200,"0207 52 -- interi, congelati"
02075210,"0207 52 10 --- presentate spennate, dissanguate, non svuotate, con la testa e le zampe, dette oche 82 %"
02075290,"0207 52 90 --- presentate spennate, svuotate, senza la testa e le zampe, con o senza il cuore ed il ventriglio, dette oche 75 %, o altrimenti presentate"
02075300,"0207 53 00 -- Fegati grassi, freschi o refrigerati"
02075400,"0207 54 -- altri, freschi o refrigerati"
02075410,0207 54 10 ---- disossati
02075421,0207 54 21 ----- Metà o quarti
02075431,"0207 54 31 ----- Ali intere, anche senza punta"
02075441,"0207 54 41 ----- Dorsi, colli, dorsi con colli attaccati, codrioni, punte di ali"
02075451,0207 54 51 ----- Petti e loro pezzi
02075461,0207 54 61 ----- Cosce e loro pezzi
02075471,0207 54 71 ----- Parti dette paltò di oca
02075481,0207 54 81 ----- altri
02075491,"0207 54 91 ---- Fegati, diversi dai fegati grassi"
02075499,0207 54 99 ---- altri
02075500,"0207 55 -- altri, congelati"
02075510,0207 55 10 ---- disossati
02075521,0207 55 21 ----- Metà o quarti
02075531,"0207 55 31 ----- Ali intere, anche senza punta"
02075541,"0207 55 41 ----- Dorsi, colli, dorsi con colli attaccati, codrioni, punte di ali"
02075551,0207 55 51 ----- Petti e loro pezzi
02075561,0207 55 61 ----- Cosce e loro pezzi
02075571,0207 55 71 ----- Parti dette paltò di oca
02075581,0207 55 81 ----- altri
02075593,0207 55 93 ----- Fegati grassi
02075595,0207 55 95 ----- altri
02075599,0207 55 99 ---- altri
02076000,0207 60 - di faraone
02076005,"0207 60 05 -- interi, freschi, refrigerati o congelati"
02076010,"-- altri, freschi, refrigerati o congelati"
02076021,0207 60 21 ----- Metà o quarti
02076031,"0207 60 31 ----- Ali intere, anche senza punta"
02076041,"0207 60 41 ----- Dorsi, colli, dorsi con colli attaccati, codrioni, punte di ali"
02076051,0207 60 51 ----- Petti e loro pezzi
02076061,0207 60 61 ----- Cosce e loro pezzi
02076081,0207 60 81 ----- altri
02076091,0207 60 91 ---- Fegati
02076099,0207 60 99 ---- altri
02080000,"0208 Altre carni e frattaglie commestibili, fresche, refrigerate o congelate"
02081000,0208 10 - di conigli o di lepri
02081010,0208 10 10 -- di conigli domestici
02081090,0208 10 90 -- altre
02083000,0208 30 00 - di primati
02084000,"0208 40 - di balene, delfini e marsovini (mammiferi dell'ordine dei cetacei); di lamantini e di dugonghi (mammiferi dell'ordine dei sireni); di otarie e foche, leoni marini e trichechi (mammiferi del sottordine dei pinnipedi)"
02084010,0208 40 10 -- Carne di balena
02084020,0208 40 20 -- Carni di foca
02084080,0208 40 80 -- altre
02085000,0208 50 00 - di rettili (compresi i serpenti e le tartarughe marine)
02086000,0208 60 00 - di cammelli e altri camelidi (Camelidae)
02089000,0208 90 - altre
02089010,0208 90 10 -- di piccioni domestici
02089030,"0208 90 30 -- di selvaggina, diversa dai conigli e dalle lepri"
02089060,0208 90 60 -- di renne
02089070,0208 90 70 -- Cosce di rane
02089098,0208 90 98 -- altre
02090000,"0209 Grasso di maiale, privo di carne magra e grasso di pollame, non fusi né altrimenti estratti, freschi, refrigerati, congelati, salati o in salamoia, essiccati o affumicati"
02091000,0209 10 - di suini
02091011,"0209 10 11 --- fresco, refrigerato, congelato, salato o in salamoia"
02091019,0209 10 19 --- secco o affumicato
02091090,0209 10 90 -- Grasso di maiale diverso dalla sottovoce 0209 10 11 o 0209 10 19
02099000,0209 90 00 - altri
02100000,"0210 Carni e frattaglie commestibili, salate o in salamoia, secche o affumicate; farine e polveri, commestibili, di carni o di frattaglie"
02101100,"0210 11 -- Prosciutti, spalle, e loro pezzi, non disossati"
02101111,0210 11 11 ----- Prosciutti e loro pezzi
02101119,0210 11 19 ----- Spalle e loro pezzi
02101131,0210 11 31 ----- Prosciutti e loro pezzi
02101139,0210 11 39 ----- Spalle e loro pezzi
02101190,0210 11 90 --- altre
02101200,0210 12 -- Pancette (ventresche) e loro pezzi
02101211,0210 12 11 ---- salate o in salamoia
02101219,0210 12 19 ---- secche o affumicate
02101290,0210 12 90 --- altre
02101900,0210 19 -- altre
02101910,0210 19 10 ----- Mezzene bacon o 3/4 anteriori
02101920,0210 19 20 ----- 3/4 posteriori o parti centrali
02101930,0210 19 30 ----- Parti anteriori e loro pezzi
02101940,0210 19 40 ----- Lombate e loro pezzi
02101950,0210 19 50 ----- altre
02101960,0210 19 60 ----- Parti anteriori e loro pezzi
02101970,0210 19 70 ----- Lombate e loro pezzi
02101981,0210 19 81 ------ disossate
02101989,0210 19 89 ------ altre
02101990,0210 19 90 --- altre
02102000,0210 20 - Carni della specie bovina
02102010,0210 20 10 -- non disossate
02102090,0210 20 90 -- disossate
02109100,"- altre, comprese le farine e le polveri commestibili, di carni o di frattaglie"
02109200,"0210 92 -- di balene, delfini e marsovini (mammiferi dell'ordine dei cetacei); di lamantini e di dugonghi (mammiferi dell'ordine dei sireni); di otarie e foche, leoni marini e trichechi (mammiferi del sottordine dei pinnipedi)"
02109210,"0210 92 10 --- di balene, delfini e marsovini (mammiferi della specie dei cetacei); di lamantini e di dugonghi (mammiferi della specie dei sireni)"
02109291,0210 92 91 ---- Carni
02109292,0210 92 92 ---- Frattaglie
02109299,0210 92 99 ---- Farine e polveri commestibili di carni o di frattaglie
02109300,0210 93 00 -- di rettili (compresi i serpenti e le tartarughe marine)
02109900,0210 99 -- altre
02109910,"0210 99 10 ---- di cavallo, salate o in salamoia o anche secche"
02109921,---- delle specie ovina e caprina
02109929,0210 99 29 ----- disossate
02109931,0210 99 31 ---- di renne
02109939,0210 99 39 ---- altre
02109941,---- della specie suina domestica
02109949,0210 99 49 ----- altre
02109951,0210 99 51 ----- lombatello sottile e lombatello
02109959,0210 99 59 ----- altre
02109971,"0210 99 71 ------ Fegati grassi di oche o di anatre, salati o in salamoia"
02109979,0210 99 79 ------ altri
02109985,0210 99 85 ----- altre
02109990,0210 99 90 --- Farine e polveri commestibili di carni o di frattaglie
03002100,"CAPITOLO 3 - PESCI E CROSTACEI, MOLLUSCHI E ALTRI INVERTEBRATI ACQUATICI"
03010000,0301 Pesci vivi
03011100,0301 11 00 -- di acqua dolce
03011900,0301 19 00 -- altri
03019100,"0301 91 -- Trote (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache e Oncorhynchus chrysogaster)"
03019110,0301 91 10 --- delle specie Oncorhynchus apache e Oncorhynchus chrysogaster
03019190,0301 91 90 --- altri
03019200,0301 92 -- Anguille (Anguilla spp.)
03019210,0301 92 10 --- di lunghezza inferiore a 12 cm
03019230,0301 92 30 --- di lunghezza uguale o superiore a 12 cm ma inferiore a 20 cm
03019290,0301 92 90 --- di lunghezza uguale o superiore a 20 cm
03019300,"0301 93 00 -- Carpe (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.)"
03019400,"0301 94 -- Tonni rossi dell'Atlantico e del Pacifico (Thunnus thynnus, Thunnus orientalis)"
03019410,0301 94 10 --- Tonni rossi dell'Atlantico (Thunnus thynnus)
03019490,0301 94 90 --- Tonni rossi del Pacifico (Thunnus orientalis)
03019500,0301 95 00 -- Tonni rossi del sud (Thunnus maccoyii)
03019900,0301 99 -- altri
03019911,"0301 99 11 ---- Salmoni del Pacifico (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou e Oncorhynchus rhodurus), salmoni dell'Atlantico (Salmo salar) e salmoni del Danubio (Hucho hucho)"
03019917,0301 99 17 ---- altri
03019985,0301 99 85 --- altri
03020000,"0302 Pesci freschi o refrigerati, esclusi i filetti di pesce e di altra carne di pesci della voce 0304"
03021100,"0302 11 -- Trote (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache e Oncorhynchus chrysogaster)"
03021110,0302 11 10 --- delle specie Oncorhynchus apache e Oncorhynchus chrysogaster
03021120,"0302 11 20 --- della specie Oncorhynchus mykiss, con testa e branchie, senza visceri, di peso superiore a 1,2 kg per pezzo o decapitate, senza branchie, senza visceri, di peso superiore a 1 kg per pezzo"
03021180,0302 11 80 --- altri
03021300,"0302 13 00 -- Salmoni del Pacifico (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytsha, Oncorhynchus kisutch, Oncorhynchus masou e Oncorhynchus rhodurus)"
03021400,0302 14 00 -- Salmoni dell'Atlantico (Salmo salar) e salmoni del Danubio (Hucho hucho)
03021900,0302 19 00 -- altri
03022100,"- Pesci di forma appiattita (pleuronettidi, botidi, cinoglossidi, soleidi, scoftalamidi ecitaridi), escluse le frattaglie di pesce commestibili delle sottovoci da 030291 a 030299"
03022110,0302 21 10 --- Ippoglossi neri (Reinhardtius hippoglossoides)
03022130,0302 21 30 --- Ippoglossi dell'Atlantico (Hippoglossus hippoglossus)
03022190,0302 21 90 --- Ippoglossi del Pacifico (Hippoglossus stenolepis)
03022200,0302 22 00 -- Passere di mare (Pleuronectes platessa)
03022300,0302 23 00 -- Sogliole (Solea spp.)
03022400,0302 24 00 -- Rombi (Psetta maxima)
03022900,0302 29 -- altri
03022910,0302 29 10 --- Rombi gialli (Lepidorhombus spp.)
03022980,0302 29 80 --- altri
03023100,"- Tonni (del genere Thunnus), tonnetti striati (Katsuwonus pelamis), escluse le frattaglie di pesce commestibili delle sottovoci da 030291 a 030299"
03023110,0302 31 10 --- destinati alla fabbricazione industriale di prodotti della voce 1604
03023190,0302 31 90 --- altri
03023200,0302 32 -- Tonni albacora (Thunnus albacares)
03023210,0302 32 10 --- destinati alla fabbricazione industriale di prodotti della voce 1604
03023290,0302 32 90 --- altri
03023300,0302 33 -- Tonnetti striati (Katsuwonus pelamis)
03023310,0302 33 10 --- destinati alla fabbricazione industriale di prodotti della voce 1604
03023390,0302 33 90 --- altri
03023400,0302 34 -- Tonni obesi (Thunnus obesus)
03023410,0302 34 10 --- destinati alla fabbricazione industriale di prodotti della voce 1604
03023490,0302 34 90 --- altri
03023500,"0302 35 -- Tonni rossi dell'Atlantico e del Pacifico (Thunnus thynnus, Thunnus orientalis)"
03023511,0302 35 11 ---- destinati alla fabbricazione industriale di prodotti della voce 1604
03023519,0302 35 19 ---- altri
03023591,0302 35 91 ---- destinati alla fabbricazione industriale di prodotti della voce 1604
03023599,0302 35 99 ---- altri
03023600,0302 36 -- Tonni rossi del sud (Thunnus maccoyii)
03023610,0302 36 10 --- destinati alla fabbricazione industriale di prodotti della voce 1604
03023690,0302 36 90 --- altri
03023900,0302 39 -- altri
03023920,0302 39 20 --- destinati alla fabbricazione industriale di prodotti della voce 1604
03023980,0302 39 80 --- altri
03024100,"- Aringhe (Clupea harengus, Clupea pallasii), acciughe (Engraulis spp.), sardine (Sardina pilchardus, Sardinops spp.), alacce (Sardinella spp.), spratti (Sprattus sprattus), sgombri (Scomber scombrus, Scomber australasicus, Scomber japonicus), sgombri indiani (Rastrelliger spp.), maccarelli reali (Scomberomorus spp.), suri e sugarelli (Trachurus spp.), carangi (Caranx spp.), cobia (Rachycentron canadum), pampi argentei (Pampus spp.), costardella saira (Cololabis saira), sugarotti (Decapterus spp.), capelin (Mallotus villosus), pesci spada (Xiphias gladius), tonnetti (Euthynnus affinis), boniti (Sarda spp.), marlin, pesci vela e pesci lancia (Istiophoridae), escluse le frattaglie di pesce commestibili delle sottovoci da 030291 a 030299"
03024200,0302 42 00 -- Acciughe (Engraulis spp.)
03024300,"0302 43 -- Sardine (Sardina pilchardus, Sardinops spp.), alacce (Sardinella spp.), spratti (Sprattus sprattus)"
03024310,0302 43 10 --- Sardine della specie Sardina pilchardus
03024330,0302 43 30 --- Sardine del genere Sardinops; alacce (Sardinella spp.)
03024390,0302 43 90 --- Spratti (Sprattus sprattus)
03024400,"0302 44 00 -- Sgombri (Scomber scombrus, Scomber australasicus, Scomber japonicus)"
03024500,0302 45 -- Suri e sugarelli (Trachurus spp.)
