Installation ID,Permit ID,Operator,Installation name,Address,Allocations,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Allocation total (per installation) ,Unnamed: 11,Lat,Lon
IT-571,IT-A-836,Polimeri Europa S.p.A.,Stabilimento Polimeri Europa di Sarroch,"Piazza Boldrini, 1 - 20097 - SAN DONATO MILANESE (MI)",624417.0,624417.0,624417.0,624417.0,624417.0,3122085.0,,45.4248439,9.2533194
IT-572,IT-A-838,ENEL PRODUZIONE S.p.A.,CENTRALE TERMOELETTRICA DI PORTOSCUSO,"Viale Regina Margherita, 125 - 00100 - ROMA (RM)",527295.0,316377.0,158188.0,105459.0,52729.0,1160048.0,,41.919087,12.4988884
IT-573,IT-A-839,ENEL PRODUZIONE S.p.A.,CENTRALE TERMOELETTRICA DI SULCIS,"Viale Regina Margherita, 125 - 00100 - ROMA (RM)",943075.0,895922.0,848768.0,801614.0,754460.0,4243839.0,,41.919087,12.4988884
IT-574,IT-A-840,ITALCEMENTI S.P.A.,CEMENTERIA DI SAMATZAI,"CAMOZZI, 124 - 24100 - BERGAMO (BG)",561963.0,561963.0,561963.0,561963.0,561963.0,2809815.0,,45.6966681,9.6758147
IT-575,IT-A-841,Saras S.p.A,Saras SpA,"SS 195 SULCITANA km 19, 1 - 09018 - SARROCH (CA)",2581787.0,2581787.0,2581787.0,2581787.0,2581787.0,12908935.0,,39.0655592,9.0108295
IT-576,IT-A-842,O-I Manufacturing Italy S.p.A.,O-I Manufacturing Italy S.p.A. - STABILIMENTO DI VILLOTTA (PN),"VIA WASHINGTON, 70 - 20100 - MILANO (MI)",45800.0,45800.0,45800.0,45800.0,45800.0,229000.0,,45.4601178,9.1545952
IT-577,IT-A-843,GRUPPO CORDENONS SPA,STABILIMENTO DI CORDENONS,"Via Nicolò Macchiavelli, 38 - 20145 - MILANO (MI)",18907.0,18907.0,18907.0,18907.0,18907.0,94535.0,,45.4641943,9.1896346
IT-578,IT-A-844,Cementizillo S.p.A.,Cementeria di Fanna,"Carlo Cassan, 10 - 35100 - PADOVA (PD)",630588.0,630588.0,630588.0,630588.0,630588.0,3152940.0,,45.4093809,11.880182
IT-579,IT-A-845,NEUBOR GLASS,NEUBOR GLASS SPA,"MURANO, 2 - 33078 - SAN VITO AL TAGLIAMENTO (PN)",12207.0,12207.0,12207.0,12207.0,12207.0,61035.0,,45.9459514,12.8781824
IT-580,IT-A-846,VETRI SPECIALI S.p.A,Impianto di San Vito al Tagliamento (PN),"VIA MANCI, 5 - 38100 - TRENTO (TN)",24257.0,24257.0,24257.0,24257.0,24257.0,121285.0,,46.0698713,11.1230458
